Word,Prevalence_Factor
single-use,1839.7921840450347
[your,1658.9193685656621
eighth-grade,759.8161348323245
exude,584.7051957463387
j.k,388.801398371173
ride-sharing,367.75802371706305
fulfillment,313.34586925429323
grinspoon,275.81851778779725
globalized,275.06696869300765
jefferson's,264.7957977308826
goal-setting,260.0359867972149
car-centric,258.5328886076356
name],248.4621307374545
oxides,236.98848122366599
mentorship,223.39796842622
specialization,219.45233567857443
disenfranchises,216.44613929941588
[state,206.30022651975574
pareidolia,166.84389904329973
mentees,157.82530990582407
gun-related,156.3222117162448
can-do,142.04277891524166
incentivizes,139.78813163087273
home-based,138.28503344129345
legalizing,137.53348434650383
perseverance,136.8758788885629
senator's,126.56086756257511
self-trust,124.75714973507999
well-structured,120.24785516634215
career-related,120.24785516634215
burnout,118.98525268709557
people-centric,118.74475697676287
(e.g,118.74475697676287
kayaking,118.74475697676287
vigor,117.24165878718358
fast-paced,116.94103914926774
well-rounded,114.81111703382136
yousafzai,114.73649513788482
cultivates,110.62802675303477
emphasizing,108.07275983075
fostering,107.7533514654644
well-being,106.88223774195824
rowling,106.82733561652718
overstated,106.6448165506497
setbacks,106.51616153611789
fosters,106.12350392458131
usagelimiting,105.21687327054937
malala,103.41315544305425
three-year,101.2086114316713
pedestrian-friendly,99.20448051223228
gang-related,97.701382322653
revolutionized,97.34063875715397
condensing,93.9436368487048
ellington's,92.19002229419564
cafeterias,92.06476411173071
off-campus,89.43434227996697
equips,88.93330955010723
unwavering,85.67659680601878
promptness,85.67659680601878
president-elect,85.67659680601878
streetwear,82.67040042686023
malala's,82.67040042686023
well-reasoned,82.67040042686023
points),82.67040042686023
seven-hour,81.16730223728095
self-discovery,78.91265495291204
erosional,78.1611058581224
unauthorized,76.65800766854312
totes,76.65800766854312
characterized,76.35738803062726
self-assurance,75.4555291168797
"principal,i",75.15490947896383
prioritizing,74.97807439783688
drawbacks,74.31317449279945
legalization,73.8665396021816
rideshare,73.65181128938457
surface-level,73.65181128938457
camaraderie,72.5495392836931
game-winning,72.14871309980529
low-impact,72.14871309980529
multifaceted,71.87182659119857
self-acceptance,71.84809346188943
unapproachable,71.39716400501565
self-belief,71.02138945762083
livable,70.75834727444446
post-graduation,70.645614910226
four-year,69.56338421372894
work-life,69.49618688290069
absenteeism,69.14251672064673
project-based,69.14251672064673
park's,69.14251672064673
problem-solve,69.14251672064673
aligns,68.8293712644844
underscores,68.55434786385484
drug-related,67.63941853106746
gandhi's,67.63941853106746
einstein's,67.63941853106746
life.one,66.13632034148819
must-visit,66.13632034148819
post-secondary,66.13632034148819
persevere,64.82110942560631
rejections,64.78353197086683
community-centric,64.6332221519089
internships,64.59027648934949
rigors,63.73136323816134
skillsets,63.13012396232962
classroom-based,63.13012396232962
health.another,63.13012396232962
incentivized,62.12805850261011
half-day,61.62702577275035
career-oriented,61.62702577275035
prioritize,61.03425465573317
understated,60.98284083435923
*,60.16568031065938
pma,60.123927583171074
postsecondary,60.123927583171074
e-books,59.12186212345156
etc…,58.62082939359179
ecas,58.62082939359179
empowers,57.86928029880216
nurtures,57.71897047984423
resilience,57.1893073082782
election.however,57.117731204012514
disenfranchising,57.117731204012514
senator’s,57.117731204012514
winfrey,56.741956656617695
individual's,56.237868849136845
time-bound,55.614633014433245
car-related,55.614633014433245
president.thank,55.614633014433245
overburdening,55.614633014433245
persevering,55.614633014433245
problem-solving,55.05097119334102
invaluable,54.832198340405675
role-plays,54.11153482485397
whiteboards,54.11153482485397
pharmacists,53.6105020949942
in-person,53.402526244863736
multi-faceted,53.359985730064324
well-researched,52.608436635274686
health.finally,52.608436635274686
cyberbullying,52.157507178400905
theaters,52.007197359442976
cybersecurity,50.72956389830059
vote.thank,50.72956389830059
persevered,50.67588182010133
ummm,50.60430571583565
amidst,50.35378935090577
serena,50.10327298597589
recharge,49.990136563104336
organization's,49.60224025611613
fiber,49.60224025611613
california.the,49.60224025611613
non-compliance,49.60224025611613
heat-resistant,49.60224025611613
curfews,49.50367644040602
favorably,48.8506911613265
straws,48.74332700492798
transferable,48.70038134236857
delve,48.48365555689435
usagein,48.09914206653686
appetizing,48.09914206653686
skill-building,48.09914206653686
emphasizes,47.94883224757893
demoralizing,47.34759297174722
non-educational,47.159705698049805
adversity,46.64909440129568
churchill's,46.59604387695758
payton,46.59604387695758
incentivize,46.59604387695758
emerson's,46.53932319055836
specializing,46.22026932956276
senator],45.84449478216794
self-doubt,45.8049395666527
eons,45.59397841723807
idealized,45.59397841723807
maximizes,45.46872023477312
additionally,45.1548493451216
xyz,45.09294568737831
branson,45.092945687378304
disheartened,44.92593477742505
leveraging,44.7589238674718
e-commerce,44.59191295751855
zip,44.44876074898718
mogul,44.341396592588666
skool,44.090880227658786
inclusivity,43.82717879089049
well-roundedness,43.58984749779903
non-competitive,43.58984749779903
mouthwatering,43.58984749779903
conceptualize,43.58984749779903
(i.e,43.58984749779903
parent-teacher,43.58984749779903
approachability,43.58984749779903
walkable,43.38943440585512
infringe,43.33933113286915
mandating,43.28922785988317
hindering,43.21407295040421
holistic,42.90422376220146
expedited,42.58778203807951
demotivation,42.08674930821975
(sorry,42.08674930821975
304,42.08674930821975
michelangelo's,42.08674930821975
marconi,42.08674930821975
unraveling,42.08674930821975
(text,42.08674930821975
renewable,41.80044489115703
internalize,41.71097476082493
approachable,41.54992852622715
embracing,41.37141944691395
